Date,Open,High,Low,Close,Adj Close,Volume
2011-10-20,3.640000,3.660000,3.520000,3.540000,2.789224,51303300
2011-10-21,3.480000,3.600000,3.480000,3.540000,2.789224,42294100
2011-10-25,3.580000,3.660000,3.560000,3.600000,2.836499,71715800
2011-10-26,3.580000,3.720000,3.560000,3.680000,2.899532,52992200
2011-10-27,3.740000,3.960000,3.720000,3.900000,3.072874,142076400
2011-10-28,3.980000,4.120000,3.940000,3.940000,3.104391,179794500
2011-10-31,3.960000,4.000000,3.820000,3.840000,3.025599,86744400
2011-11-01,3.800000,3.840000,3.660000,3.680000,2.899532,92549200
2011-11-02,3.640000,3.820000,3.600000,3.780000,2.978324,86765000
2011-11-03,3.680000,3.740000,3.660000,3.740000,2.946808,51939600
2011-11-04,3.780000,3.800000,3.700000,3.700000,2.915291,44435300
2011-11-07,3.740000,3.740000,3.680000,3.680000,2.899532,18672400
2011-11-08,3.720000,3.840000,3.700000,3.840000,3.025599,56659400
2011-11-09,3.840000,3.880000,3.740000,3.760000,2.962566,55593500
2011-11-10,3.680000,3.760000,3.680000,3.720000,2.931050,87423000
2011-11-11,3.720000,3.760000,3.680000,3.720000,2.931050,49871700
2011-11-14,3.780000,3.840000,3.760000,3.780000,2.978324,80206800
2011-11-15,3.800000,3.840000,3.760000,3.760000,2.962566,50024500
2011-11-16,3.760000,3.840000,3.760000,3.840000,3.025599,38626500
2011-11-17,3.820000,4.000000,3.820000,3.960000,3.120150,197460300
2011-11-18,3.900000,3.920000,3.840000,3.900000,3.072874,96344600
2011-11-21,3.880000,3.900000,3.740000,3.760000,2.962566,58465000
2011-11-22,3.780000,3.820000,3.760000,3.780000,2.978324,32181200
2011-11-23,3.780000,3.820000,3.740000,3.760000,2.962566,33689100
2011-11-24,3.780000,3.800000,3.760000,3.800000,2.994082,19753000
2011-11-25,3.780000,3.800000,3.740000,3.740000,2.946808,17616100
2011-11-28,3.760000,3.840000,3.760000,3.840000,3.025599,27042800
2011-11-29,3.840000,3.860000,3.780000,3.780000,2.978324,33881600
2011-11-30,3.820000,3.880000,3.800000,3.880000,3.057116,44552700
2011-12-01,3.980000,4.100000,3.960000,4.000000,3.151666,180084900
